sample	segments	clonality	ploidy	purity	homozygousLoss	use	notes
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C08_293342	283	0.13	4.614	0.95	0.09	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C09_293344	114	0.163	3.366	0.95	0.319	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C10_293346	84	0.132	4.044	1	0.008	TRUE	Refit at higher ploidy; Original ploidy 2.04; manual minimum 3.2; New ploidy 3.92
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C11_293348	195	0.138	2.612	0.95	0.083	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C12_293350	227	0.086	2.376	0.95	0.237	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D01_293352	54	0.162	1.56	0.95	0.026	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D02_293354	105	0.129	2.897	0.95	0.017	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D03_293356	75	0.087	2.643	0.95	0.009	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D04_293358	63	0.122	3.819	0.95	0	FALSE	non-interleaving copy states
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D05_293360	57	0.034	2.116	0.95	0.029	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D06_293362	285	0.212	5.137	0.95	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D07_293364	339	0.193	4.229	0.95	0.06	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D08_293366	112	0.072	2.794	0.95	0.003	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D09_293368	144	0.056	1.781	0.96	0.087	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E01_293376	105	0.254	5.112	0.96	0	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E02_293378	279	0.155	3.102	0.95	NA	TRUE	Some oversegmentation
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380	67	0.033	2.092	0.97	0.029	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E04_293382	110	0.116	2.377	0.95	0.063	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E05_293384	133	0.243	4.776	0.95	0.18	FALSE	High prop. Non-integer; oversegmemtation
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E06_293386	73	0.062	2.165	0.95	0.031	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E07_293388	84	0.089	2.65	0.95	0.007	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E08_293390	132	0.133	3.46	0.95	0.188	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E09_293392	229	0.088	3.346	0.95	0.474	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E10_293394	93	0.149	2.979	0.95	0.014	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396	129	0.086	2.197	0.95	0.065	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E12_293398	192	0.184	4.3	0.95	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F01_293400	100	0.236	3.772	0.96	0.002	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F02_293402	230	0.164	3.935	1	0.044	FALSE	High prop. Non-integer; oversegmemtation
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F03_293404	175	0.097	2.598	0.95	0.022	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F04_293406	105	0.093	2.796	0.95	0.012	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F05_293408	57	0.07	2.132	0.95	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F06_293410	48	0.156	3.163	0.95	0.007	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F07_293412	133	0.131	2.653	0.98	0.086	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F08_293414	100	0.041	1.717	0.96	0.035	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F09_293416	83	0.192	3.788	0.95	0.062	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G01_293424	186	0.048	1.828	0.99	0.189	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G02_293426	236	0.106	2.96	0.95	0.023	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G04_293430	36	0.04	2.143	0.95	0.006	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G05_293432	251	0.127	2.977	0.95	0.016	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438	96	0.055	2.68	0.95	0.069	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G09_293440	185	0.058	3.044	0.97	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442	161	0.106	2.576	0.99	0.137	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G11_293444	89	0.139	2.733	0.95	0.013	FALSE	Refit at higher ploidy failed to improve fit
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H01_293448	175	0.072	1.657	0.95	0.009	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H04_293454	178	0.246	4.491	0.95	0.073	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H05_293456	63	0.133	2.443	1	0.016	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H06_293458	191	0.121	2.554	0.95	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H09_293464	140	0.164	3.168	0.95	0.029	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H11_293468	92	0.138	3.015	0.96	0.003	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H12_293470	214	0.171	2.742	0.97	NA	TRUE	NA
HOP-62	140	0.232	2.719	0.95	0.009	TRUE	NA
HOP-92	193	0.195	4.399	1	0.008	FALSE	High prop. Non-integer; oversegmemtation
HOS	170	0.129	4.304	0.95	0.067	TRUE	Refit at higher ploidy; Original ploidy 2.1; manual minimum 3.2; New ploidy 4.11
HPAC	92	0.054	2.769	1	0.001	TRUE	NA
HPAF-II	96	0.096	2.488	0.95	0.026	TRUE	NA
Hs-445	40	0.039	2.045	0.98	0.004	TRUE	NA
Hs-578-T	54	0.12	2.563	0.95	0.136	TRUE	NA
Hs746T	298	0.215	4.302	0.99	0.006	FALSE	High prop. Non-integer; oversegmemtation
HSC-2	213	0.239	4.809	0.95	0.003	FALSE	High prop. Non-integer; oversegmemtation
HSC-3	149	0.208	2.85	1	0.069	TRUE	NA
HSC-4	136	0.136	4.689	1	0.022	TRUE	NA
HT-1080	75	0.017	1.921	0.96	NA	TRUE	NA
HT-115	39	0.064	1.923	0.95	0.007	TRUE	NA
HT-1197	75	0.077	2.107	1	0.027	TRUE	NA
HT-1376	158	0.167	3.223	0.95	0.007	FALSE	High prop. Non-integer
HT-144	182	0.246	2.252	0.95	0.01	TRUE	NA
HT-29	109	0.146	2.603	0.95	0.025	TRUE	NA
HT-3	161	0.077	3.07	0.95	0.035	TRUE	NA
HT	136	0.093	2.972	1	0.015	TRUE	NA
HT55	106	0.18	3.671	0.95	0.115	TRUE	NA
HTC-C3	181	0.077	2.876	0.95	0.013	TRUE	NA
HuCCT1	98	0.139	3.176	0.95	0.01	TRUE	NA
huH-1	162	0.113	2.903	0.95	0.182	TRUE	NA
HuH-7	216	0.116	2.561	0.95	0.619	TRUE	NA
HuO-3N1	185	0.223	4.732	1	0.076	FALSE	High prop. Non-integer; oversegmemtation
HuO9	314	0.209	4.204	0.95	0.083	FALSE	High prop. Non-integer; oversegmemtation
HuP-T3	165	0.136	3.537	0.95	0.185	TRUE	NA
HuP-T4	102	0.122	3.286	0.95	NA	TRUE	NA
HUTU-80	68	0.036	1.952	1	0.032	TRUE	NA
IA-LM	180	0.147	2.393	0.95	0.014	TRUE	NA
IGR-1	124	0.133	3.025	0.95	0.217	TRUE	NA
IGR-37	75	0.206	4.016	1	0.029	FALSE	High prop. Non-integer
IGROV-1	54	0.132	1.958	1	0.021	TRUE	NA
IM-9	35	0.039	1.966	1	0.003	TRUE	NA
IM-95	60	0.119	4.171	1	0.002	FALSE	non-interleaving copy states
IMR-5	112	0.049	2.084	0.96	NA	TRUE	NA
IPC-298	140	0.187	3.348	0.95	0	TRUE	NA
Ishikawa_Heraklio_02ER-	211	0.05	2.313	1	0.279	TRUE	NA
IST-MEL1	77	0.192	3.26	1	0.031	TRUE	NA
IST-MES1	151	0.141	3.233	0.95	NA	TRUE	NA
IST-SL1	95	0.057	3.316	0.95	0.008	TRUE	NA
IST-SL2	140	0.04	2.043	0.95	0.145	TRUE	NA
J82	102	0.238	3.93	0.95	0.009	FALSE	High prop. Non-integer
JAR	248	0.112	3.124	0.98	0.018	TRUE	NA
JEG-3	204	0.045	3.197	0.96	0.017	TRUE	NA
JEKO-1	380	0.192	1.832	1	0.394	FALSE	Oversegmentation
JHH-1	129	0.199	4.259	1	0.01	FALSE	High prop. Non-integer
JHH-6	93	0.231	4.501	0.95	0.009	FALSE	High prop. Non-integer
JHH-7	197	0.123	3.154	0.97	0.05	TRUE	NA
JHOS-2	204	0.102	2.833	1	0.24	TRUE	NA
JHOS-4	222	0.219	4.302	0.95	NA	FALSE	High prop. Non-integer; oversegmemtation
JHU-011	136	0.218	5.119	0.95	0.208	FALSE	High prop. Non-integer
JHU-022	140	0.239	4.269	1	0.031	FALSE	High prop. Non-integer
JHU-029	99	0.038	2.311	0.96	0.085	TRUE	NA
JIMT-1	472	0.148	2.627	1	0.092	TRUE	Some oversegmentation
JiyoyeP-2003	53	0.075	2.043	1	0.025	TRUE	NA
JJN-3	109	0.101	2.708	0.96	0.029	TRUE	NA
JM1	136	0.075	2.281	1	0.057	TRUE	NA
JURL-MK1	121	0.06	1.92	1	0.13	TRUE	NA
JVM-2	44	0.014	2.041	0.96	0.007	TRUE	NA
JVM-3	37	0.086	1.979	1	0.001	TRUE	NA
K-562	115	0.061	2.976	0.95	0.311	TRUE	NA
K2	135	0.091	2.81	1	0.021	TRUE	NA
K5	57	0.076	4.003	0.99	0.051	TRUE	NA
KALS-1	80	0.167	2.776	0.95	0.003	TRUE	NA
KARPAS-1106P	128	0.07	2.111	0.95	0.076	TRUE	NA
KARPAS-299	108	0.066	1.914	0.95	0.02	TRUE	NA
KARPAS-422	84	0.067	4.225	0.95	0.002	FALSE	non-interleaving copy states
KARPAS-45	186	0.21	1.812	1	0.015	FALSE	High prop. Non-integer; oversegmemtation
KARPAS-620	76	0.202	3.141	1	0.022	FALSE	High prop. Non-integer
KASUMI-1	75	0.032	1.97	1	0.081	TRUE	NA
KATOIII	124	0.08	3.685	0.95	NA	TRUE	NA
KCL-22	53	0.039	2.234	1	0.002	TRUE	NA
KELLY	153	0.047	2.057	1	0.075	TRUE	NA
KG-1	207	0.13	1.988	1	NA	TRUE	Some oversegmentation
KGN	45	0.03	1.992	0.95	0.03	TRUE	NA
KINGS-1	53	0.082	1.833	0.95	0.067	TRUE	NA
KLE	132	0.085	2.756	0.96	0.035	TRUE	NA
KM-H2	256	0.114	2.892	0.95	0.062	TRUE	NA
KM12	65	0.033	1.924	1	0.022	TRUE	NA
KMOE-2	98	0.225	4.902	1	0.095	FALSE	High prop. Non-integer
KMRC-1	72	0.156	3.252	1	0.008	TRUE	NA
KMRC-20	78	0.137	3.137	0.95	0.005	TRUE	NA
KMS-11	260	0.115	3.156	1	0.008	TRUE	Some oversegmentation
KMS-12-BM	197	0.14	3.467	1	NA	TRUE	NA
KNS-42	159	0.13	3.023	0.95	0.002	TRUE	NA
KNS-62	102	0.046	2.582	0.95	0.062	TRUE	NA
KNS-81-FD	105	0.151	3.474	0.95	0.066	TRUE	NA
KOPN-8	47	0.036	2.012	1	0.015	TRUE	NA
KOSC-2	149	0.16	2.753	0.95	0.012	TRUE	NA
KP-1N	132	0.102	2.523	0.95	0.041	TRUE	NA
KP-3	98	0.094	2.701	0.95	0.029	TRUE	NA
KP-4	151	0.198	4.201	1	0.121	TRUE	NA
KP-N-RT-BM-1	42	0.023	1.923	0.98	0.001	TRUE	NA
KP-N-YN	61	0.017	1.917	1	0.008	TRUE	NA
KP-N-YS	124	0.22	5.301	0.95	0.004	FALSE	High prop. Non-integer
KS-1	82	0.12	3.431	0.95	0.188	TRUE	NA
KU-19-19	117	0.156	3.368	0.95	0.064	TRUE	NA
KU812	74	0.067	2.504	1	0.011	TRUE	NA
KURAMOCHI	119	0.126	2.659	0.95	0.015	TRUE	NA
KY821	88	0.081	1.914	1	0.049	TRUE	NA
KYM-1	151	0.09	2.011	1	0.121	TRUE	NA
KYSE-140	204	0.166	4.107	1	0.082	FALSE	High prop. Non-integer; oversegmemtation
KYSE-150	160	0.287	3.376	1	0.001	FALSE	High prop. Non-integer
KYSE-180	189	0.055	2.658	0.95	0.028	TRUE	NA
KYSE-220	226	0.125	2.983	0.95	NA	TRUE	NA
KYSE-270	262	0.163	2.925	0.95	0.053	TRUE	NA
KYSE-410	287	0.197	4.225	1	0.058	FALSE	High prop. Non-integer; oversegmemtation
KYSE-450	282	0.16	4.723	0.95	0.091	TRUE	Shattered chrom. 4
KYSE-50	314	0.204	3.916	0.95	0.089	TRUE	Some oversegmentation
KYSE-510	142	0.124	4.785	0.99	NA	TRUE	NA
KYSE-520	181	0.124	2.761	0.95	0.233	TRUE	NA
KYSE-70	201	0.193	3.848	1	0.083	FALSE	High prop. Non-integer
L-1236	240	0.12	2.969	0.99	NA	TRUE	NA
L-363	87	0.073	2.129	0.95	0.034	TRUE	NA
L-428	168	0.16	4.481	0.95	0.007	TRUE	NA
L-540	106	0.087	2.896	0.95	0.039	TRUE	NA
LAMA-84	71	0.08	3.079	1	0.056	TRUE	NA
LAN-6	69	0.047	1.963	0.95	0.028	TRUE	NA
LB1047-RCC	56	0.051	2.502	0.95	NA	TRUE	NA
LB2241-RCC	82	0.099	2.567	0.95	0.049	TRUE	NA
LB2518-MEL	79	0.131	3.208	0.95	0.024	TRUE	NA
LB373-MEL-D	141	0.138	3.282	0.95	0.011	TRUE	NA
LB647-SCLC	90	0.127	2.301	0.95	0.001	TRUE	NA
LB771-HNC	190	0.171	3.083	0.95	0.125	TRUE	NA
LB831-BLC	136	0.13	3.16	0.95	0.011	TRUE	NA
LB996-RCC	73	0.023	2.018	0.95	0.025	TRUE	NA
LC-1-sq	280	0.196	5.131	0.98	0.151	FALSE	High prop. Non-integer; oversegmemtation
LC-2-ad	130	0.255	2.602	1	0.064	FALSE	High prop. Non-integer
LC4-1	70	0.073	1.928	1	0.327	TRUE	NA
LCLC-97TM1	92	0.17	2.856	0.95	0.069	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B04_246640	56	0.086	3.365	0.97	0.034	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B05_246642	135	0.245	3.763	0.96	0.017	FALSE	High prop. Non-integer
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B06_246644	113	0.168	3.373	0.96	0	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B07_246646	178	0.116	2.901	0.95	0.077	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B08_246648	138	0.133	2.763	0.95	0.358	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B09_246650	126	0.058	2.549	0.95	0.012	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B10_246652	46	0.066	2.163	1	0.001	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B12_246656	152	0.154	4.034	1	0.018	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C01_246658	224	0.232	3.961	1	0.314	FALSE	High prop. Non-integer; oversegmemtation
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C02_246660	90	0.102	2.486	0.99	0.027	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662	112	0.047	2.44	0.97	0.032	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C04_246664	132	0.132	2.094	0.95	0.073	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C05_246666	118	0.093	1.993	1	0.014	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C06_246668	151	0.135	3.418	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C07_246670	98	0.064	3.14	0.98	0.002	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C08_246672	121	0.11	3.513	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C09_246674	83	0.052	2.036	1	0.004	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C10_246676	266	0.112	2.974	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C11_246678	205	0.136	2.002	1	0.181	TRUE	Some oversegmentation
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C12_246680	86	0.117	3.287	1	0.002	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D01_246682	79	0.042	2.061	0.98	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D02_246684	123	0.203	5.336	0.95	0.015	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D03_246686	153	0.091	1.81	0.95	0.007	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D04_246688	154	0.195	4.015	1	0.042	FALSE	High prop. Non-integer
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D05_246690	72	0.095	3.087	0.98	0.01	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D06_246692	175	0.145	3.444	0.97	0.021	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D07_246694	202	0.134	1.993	1	0.026	TRUE	Some oversegmentation
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D08_246696	171	0.112	3.371	0.98	0.035	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D09_246698	72	0.134	2.613	0.95	0.005	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D10_246700	139	0.085	2.817	0.98	0.005	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D11_246702	82	0.05	1.942	1	0.008	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D12_246704	116	0.071	1.918	1	0.001	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E02_246708	75	0.172	3.719	0.95	0.062	FALSE	Refit at higher ploidy failed to improve fit
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E03_246710	65	0.083	3.091	0.95	0.013	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E04_246712	134	0.192	4.572	1	NA	FALSE	High prop. Non-integer
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E05_246714	122	0.05	1.747	0.95	0.005	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E06_246716	78	0.044	1.873	0.98	0.021	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E07_246718	181	0.106	2.364	0.95	0.07	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E08_246720	89	0.089	2.205	0.97	0.019	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E09_246722	109	0.289	4.066	0.95	0.014	FALSE	High prop. Non-integer
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E10_246724	80	0.067	2.419	1	0.037	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E11_246726	226	0.097	2.867	0.95	0.299	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E12_246728	138	0.105	2.832	0.95	0.045	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F01_246730	80	0.071	2.102	0.95	0.002	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F03_246734	106	0.118	2.65	0.95	0.007	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F04_246736	255	0.109	2.886	0.95	0.032	TRUE	Some oversegmentation
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F05_246738	75	0.165	3.608	0.95	0.003	FALSE	High prop. Non-integer
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F06_246740	152	0.099	2.556	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F07_246742	150	0.127	2.845	0.95	0.033	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F08_246744	75	0.052	1.938	1	0.006	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F09_246746	175	0.104	2.899	0.95	0.068	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F10_246748	165	0.038	2.109	0.97	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F11_246750	110	0.179	3.352	1	0.004	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754	132	0.146	2.892	0.95	0.142	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756	194	0.064	2.466	0.95	0.319	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G03_246758	105	0.144	3.1	0.95	0.049	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G04_246760	168	0.251	3.455	1	0.03	FALSE	High prop. Non-integer; oversegmemtation
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G05_246762	50	0.1	1.964	1	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764	121	0.192	4.013	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766	71	0.079	2.432	0.95	0.019	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G08_246768	52	0.054	1.972	1	0.003	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G09_246770	334	0.086	2.517	0.95	0.076	TRUE	Some oversegmentation
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G10_246772	36	0.07	1.948	0.98	0.002	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G11_246774	103	0.042	1.87	0.96	0.157	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G12_246776	93	0.142	2.831	0.95	0.195	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H01_246778	194	0.105	2.797	0.95	0.011	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H02_246780	224	0.183	5.09	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H03_246782	81	0.04	1.912	1	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H04_246784	105	0.082	2.4	0.95	0.018	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H05_246786	136	0.188	3.127	1	0	FALSE	High prop. Non-integer
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H06_246788	73	0.067	2.061	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H07_246790	160	0.098	3.184	1	0	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H08_246792	97	0.111	3.317	0.95	0.003	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H09_246794	256	0.12	3.23	0.95	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H10_246796	160	0.145	5.216	0.95	0.102	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H11_246798	162	0.132	4.39	0.97	NA	TRUE	NA
LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800	81	0.039	2.135	0.95	0.007	TRUE	NA
LK-2	78	0.058	2.662	0.95	0.028	TRUE	NA
LN-18	242	NA	NA	1	NA	TRUE	NA
LN-229	134	0.158	3.858	1	0.016	TRUE	NA
LN-405	75	0.215	3.001	0.95	0.007	FALSE	Refit at higher ploidy failed to improve fit
LNCaP-Clone-FGC	122	0.133	5.622	0.95	0.012	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348	181	0.089	3.406	1	0.043	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A02_437350	148	0.113	5.36	0.95	0.01	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A03_437344	212	0.099	2.488	1	0.069	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A04_437346	328	0.19	2.502	1	0.032	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A05_437340	120	0.18	3.69	1	0.051	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A06_437342	199	0.195	2.864	1	0.003	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A07_437336	283	0.243	2.133	0.95	0.146	FALSE	Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A08_437338	284	0.248	4.503	1	0.065	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A09_437332	137	0.214	2.953	1	NA	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A10_437334	183	0.134	2.793	1	0.006	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A11_437328	45	0.056	2.053	1	0.001	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A12_437330	132	0.237	4.089	0.98	0.012	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B01_437296	149	0.225	3.985	0.95	0.249	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B02_437298	126	0.207	4.713	0.97	0.003	FALSE	High prop. Non-integer
